analysis_group,group_value,benchmark_model,benchmark_model_label,n_problems,mean_model_distinct_strategies,mean_aops_distinct_strategies,mean_gap_model_minus_aops,median_gap_model_minus_aops,gap_bootstrap_ci_lower,gap_bootstrap_ci_upper,paired_permutation_stat_mean_gap,paired_permutation_p_two_sided,paired_permutation_method,mean_ratio_model_over_aops,ratio_bootstrap_ci_lower,ratio_bootstrap_ci_upper
domain,Algebra,claude-opus-4-6,Claude,14,1.9285714285714286,2.642857142857143,-0.7142857142857143,-1.0,-1.0,-0.42857142857142855,-0.7142857142857143,0.00390625,exact_sign_flip,0.7321428571428571,0.5833333333333333,0.863095238095238
domain,Algebra,deepseek-reasoner,DeepSeek,14,1.7857142857142858,2.642857142857143,-0.8571428571428571,-1.0,-1.2142857142857142,-0.5,-0.8571428571428571,0.00390625,exact_sign_flip,0.6964285714285714,0.5416666666666666,0.8392857142857142
domain,Algebra,gemini-3.1-pro-preview,Gemini,14,2.2142857142857144,2.642857142857143,-0.42857142857142855,0.0,-0.7857142857142857,-0.07142857142857142,-0.42857142857142855,0.109375,exact_sign_flip,0.9285714285714285,0.7738095238095237,1.130952380952381
domain,Algebra,gpt-5.4,GPT,14,1.8571428571428572,2.642857142857143,-0.7857142857142857,-1.0,-1.2857142857142858,-0.2857142857142857,-0.7857142857142857,0.0234375,exact_sign_flip,0.8095238095238096,0.619047619047619,1.0416666666666667
domain,Combinatorics,claude-opus-4-6,Claude,19,1.105263157894737,2.263157894736842,-1.1578947368421053,-1.0,-1.7894736842105263,-0.631578947368421,-1.1578947368421053,0.00067138671875,exact_sign_flip,0.5087719298245613,0.2894736842105263,0.7543859649122807
domain,Combinatorics,deepseek-reasoner,DeepSeek,19,1.6842105263157894,2.263157894736842,-0.5789473684210527,-1.0,-1.0526315789473684,-0.10526315789473684,-0.5789473684210527,0.05078125,exact_sign_flip,0.8649122807017542,0.5964912280701754,1.1929824561403508
domain,Combinatorics,gemini-3.1-pro-preview,Gemini,19,2.1578947368421053,2.263157894736842,-0.10526315789473684,0.0,-0.5789473684210527,0.3684210526315789,-0.10526315789473684,0.8359375,exact_sign_flip,1.1631578947368422,0.8736403508771929,1.5175438596491226
domain,Combinatorics,gpt-5.4,GPT,19,1.5263157894736843,2.263157894736842,-0.7368421052631579,-1.0,-1.3157894736842106,-0.15789473684210525,-0.7368421052631579,0.046630859375,exact_sign_flip,0.8807017543859648,0.5719298245614035,1.231578947368421
domain,Geometry,claude-opus-4-6,Claude,16,1.125,3.3125,-2.1875,-2.0,-2.9375,-1.5,-2.1875,6.103515625e-05,exact_sign_flip,0.3604166666666666,0.23125,0.4958333333333333
domain,Geometry,deepseek-reasoner,DeepSeek,16,1.875,3.3125,-1.4375,-1.0,-2.0,-0.875,-1.4375,0.0009765625,exact_sign_flip,0.6333333333333333,0.5041666666666667,0.7916666666666666
domain,Geometry,gemini-3.1-pro-preview,Gemini,16,2.4375,3.3125,-0.875,-1.0,-1.4375,-0.3125,-0.875,0.01904296875,exact_sign_flip,0.7916666666666665,0.64375,0.9520833333333333
domain,Geometry,gpt-5.4,GPT,16,2.0,3.3125,-1.3125,-1.0,-1.9375,-0.75,-1.3125,0.0009765625,exact_sign_flip,0.6697916666666666,0.55,0.7958333333333333
domain,Number Theory,claude-opus-4-6,Claude,15,1.2666666666666666,3.0,-1.7333333333333334,-2.0,-2.3333333333333335,-1.2,-1.7333333333333334,0.000244140625,exact_sign_flip,0.45444444444444443,0.3010833333333333,0.6088888888888887
domain,Number Theory,deepseek-reasoner,DeepSeek,15,2.1333333333333333,3.0,-0.8666666666666667,-1.0,-1.2,-0.5333333333333333,-0.8666666666666667,0.001953125,exact_sign_flip,0.7511111111111111,0.6566666666666666,0.851111111111111
domain,Number Theory,gemini-3.1-pro-preview,Gemini,15,2.2,3.0,-0.8,-1.0,-1.1333333333333333,-0.4666666666666667,-0.8,0.001953125,exact_sign_flip,0.7455555555555554,0.6455555555555555,0.8455555555555556
domain,Number Theory,gpt-5.4,GPT,15,1.8666666666666667,3.0,-1.1333333333333333,-1.0,-1.5333333333333334,-0.8,-1.1333333333333333,0.000244140625,exact_sign_flip,0.6344444444444444,0.5400000000000001,0.73
domain,Probability,claude-opus-4-6,Claude,16,1.5625,2.4375,-0.875,-1.0,-1.4375,-0.375,-0.875,0.01171875,exact_sign_flip,0.7135416666666666,0.5364583333333333,0.890625
domain,Probability,deepseek-reasoner,DeepSeek,16,2.0625,2.4375,-0.375,-0.5,-0.875,0.125,-0.375,0.24365234375,exact_sign_flip,0.9739583333333333,0.7447916666666666,1.2239583333333333
domain,Probability,gemini-3.1-pro-preview,Gemini,16,2.5,2.4375,0.0625,0.0,-0.375,0.4375,0.0625,1.0,exact_sign_flip,1.1302083333333333,0.9270833333333333,1.34375
domain,Probability,gpt-5.4,GPT,16,2.25,2.4375,-0.1875,0.0,-0.5,0.125,-0.1875,0.453125,exact_sign_flip,0.9947916666666666,0.8645833333333333,1.1614583333333333
