domain,benchmark_model,num_problems_in_domain,total_distinct_strategies,average_distinct_strategies,median_distinct_strategies
Algebra,AoPS,14,37,2.642857142857143,2.5
Algebra,claude-opus-4-6,14,27,1.9285714285714286,2.0
Algebra,deepseek-reasoner,14,25,1.7857142857142858,2.0
Algebra,gemini-3.1-pro-preview,14,31,2.2142857142857144,2.0
Algebra,gpt-5.4,14,26,1.8571428571428572,2.0
Combinatorics,AoPS,19,43,2.263157894736842,2.0
Combinatorics,claude-opus-4-6,19,21,1.105263157894737,1.0
Combinatorics,deepseek-reasoner,19,32,1.6842105263157894,2.0
Combinatorics,gemini-3.1-pro-preview,19,41,2.1578947368421053,2.0
Combinatorics,gpt-5.4,19,29,1.5263157894736843,1.0
Geometry,AoPS,16,53,3.3125,3.0
Geometry,claude-opus-4-6,16,18,1.125,1.0
Geometry,deepseek-reasoner,16,30,1.875,2.0
Geometry,gemini-3.1-pro-preview,16,39,2.4375,2.0
Geometry,gpt-5.4,16,32,2.0,2.0
Number Theory,AoPS,15,45,3.0,3.0
Number Theory,claude-opus-4-6,15,19,1.2666666666666666,1.0
Number Theory,deepseek-reasoner,15,32,2.1333333333333333,2.0
Number Theory,gemini-3.1-pro-preview,15,33,2.2,2.0
Number Theory,gpt-5.4,15,28,1.8666666666666667,2.0
Probability,AoPS,16,39,2.4375,2.0
Probability,claude-opus-4-6,16,25,1.5625,2.0
Probability,deepseek-reasoner,16,33,2.0625,2.0
Probability,gemini-3.1-pro-preview,16,40,2.5,2.0
Probability,gpt-5.4,16,36,2.25,2.0
