domain,model,credit,domain_total,contribution_pct
Algebra,GPT,1.0,3.0,0.3333333333333333
Algebra,Gemini,2.0,3.0,0.6666666666666666
Combinatorics,Claude,1.4166666666666665,20.0,0.07083333333333333
Combinatorics,DeepSeek,4.083333333333333,20.0,0.20416666666666666
Combinatorics,GPT,3.916666666666667,20.0,0.19583333333333336
Combinatorics,Gemini,10.583333333333334,20.0,0.5291666666666667
Geometry,Claude,0.5833333333333333,7.0,0.08333333333333333
Geometry,DeepSeek,1.4166666666666665,7.0,0.20238095238095236
Geometry,GPT,2.083333333333333,7.0,0.29761904761904756
Geometry,Gemini,2.9166666666666665,7.0,0.41666666666666663
Number Theory,DeepSeek,2.5,4.0,0.625
Number Theory,Gemini,1.5,4.0,0.375
Probability,Claude,1.9166666666666665,16.0,0.11979166666666666
Probability,DeepSeek,4.083333333333333,16.0,0.2552083333333333
Probability,GPT,4.75,16.0,0.296875
Probability,Gemini,5.25,16.0,0.328125
