problem_id,full_total_across_models,run1_total_across_models,run2_total_across_models,union_all_three_total_across_models,new_in_run1_vs_full_total_across_models,new_in_run2_vs_full_run1_union_total_across_models
2016AMC12A19,12,10,11,13,1,0
2017AIMEII14,5,5,4,7,2,0
2017AMC10B25,9,7,9,11,1,1
2017AMC12A15,6,7,8,8,1,1
2018AMC10A18,8,9,8,10,2,0
2018AMC12A14,8,8,8,8,0,0
2018AMC12B21,8,7,6,8,0,0
2019AMC10A17,5,6,6,6,1,0
2019AMC10B16,6,7,8,11,4,1
2020AMC10A22,3,4,4,4,1,0
2020AMC10B18,10,11,10,12,2,0
2021AMC12B17,8,8,6,8,0,0
2021AMC12B21,10,10,9,14,3,1
2022AMC10B20,5,5,6,6,0,1
2023AMC12A21,8,8,8,8,0,0
2023AMC12A24,7,7,5,8,1,0
2023AMC12B25,4,4,4,4,0,0
2024AIMEI11,4,2,3,4,0,0
2024AIMEI13,8,9,9,13,3,2
2025AMC10A5,10,9,10,15,3,2
