analysis_group,group,model,N,mean_gap,ci_lower,ci_upper,p_value
overall,all_80,Claude,80,-1.3375,-1.625,-1.0625,0.0
overall,all_80,DeepSeek,80,-0.8125,-1.0375,-0.5875,0.0
overall,all_80,Gemini,80,-0.4125,-0.6375,-0.2,0.0008
overall,all_80,GPT,80,-0.825,-1.075,-0.5875,0.0
domain,Algebra,Claude,14,-0.7142857142857143,-1.0,-0.4285714285714285,0.00390625
domain,Algebra,DeepSeek,14,-0.8571428571428571,-1.2142857142857142,-0.5,0.00390625
domain,Algebra,Gemini,14,-0.4285714285714285,-0.7857142857142857,-0.0714285714285714,0.109375
domain,Algebra,GPT,14,-0.7857142857142857,-1.2857142857142858,-0.2857142857142857,0.0234375
domain,Combinatorics,Claude,19,-1.1578947368421053,-1.7894736842105263,-0.631578947368421,0.00067138671875
domain,Combinatorics,DeepSeek,19,-0.5789473684210527,-1.0526315789473684,-0.1052631578947368,0.05078125
domain,Combinatorics,Gemini,19,-0.1052631578947368,-0.5789473684210527,0.3684210526315789,0.8359375
domain,Combinatorics,GPT,19,-0.7368421052631579,-1.3157894736842106,-0.1578947368421052,0.046630859375
domain,Geometry,Claude,16,-2.1875,-2.9375,-1.5,6.103515625e-05
domain,Geometry,DeepSeek,16,-1.4375,-2.0,-0.875,0.0009765625
domain,Geometry,Gemini,16,-0.875,-1.4375,-0.3125,0.01904296875
domain,Geometry,GPT,16,-1.3125,-1.9375,-0.75,0.0009765625
domain,Number Theory,Claude,15,-1.7333333333333334,-2.333333333333333,-1.2,0.000244140625
domain,Number Theory,DeepSeek,15,-0.8666666666666667,-1.2,-0.5333333333333333,0.001953125
domain,Number Theory,Gemini,15,-0.8,-1.1333333333333333,-0.4666666666666667,0.001953125
domain,Number Theory,GPT,15,-1.1333333333333333,-1.5333333333333334,-0.8,0.000244140625
domain,Probability,Claude,16,-0.875,-1.4375,-0.375,0.01171875
domain,Probability,DeepSeek,16,-0.375,-0.875,0.125,0.24365234375
domain,Probability,Gemini,16,0.0625,-0.375,0.4375,1.0
domain,Probability,GPT,16,-0.1875,-0.5,0.125,0.453125
